Gene,Gene name,Main location,Other location,Expression type,Reliability,Main location GO id,Other location GO id,,Sort
ENSG00000104765,BNIP3L,Mitochondria,Nucleus but not nucleoli,APE,Supportive,GO:0005739,GO:0005654,,1933
ENSG00000104774,MAN2B1,Nucleus but not nucleoli;Vesicles,,APE,Uncertain,GO:0005654;GO:0043231,,,1934
ENSG00000104783,KCNN4,Nucleus,,APE,Uncertain,GO:0005634,,,1935
ENSG00000104805,NUCB1,Golgi apparatus,Cytoskeleton (Microtubules),APE,Supportive,GO:0005794,GO:0015630,,1936
ENSG00000104808,DHDH,Nucleus but not nucleoli;Cytoskeleton (Actin filaments),,APE,Uncertain,GO:0005654;GO:0015629,,,1937
ENSG00000104812,GYS1,Cytoplasm;Cytoskeleton (Microtubules),,APE,Supportive,GO:0005737;GO:0015630,,,1938
ENSG00000104814,MAP4K1,Nucleus but not nucleoli;Plasma membrane,,APE,Uncertain,GO:0005654;GO:0005886,,,1939
ENSG00000104818,CGB2,Cytoplasm,,APE,Uncertain,GO:0005737,,,1940
ENSG00000104825,NFKBIB,Nucleus but not nucleoli,Cytoplasm;Centrosome;Cell Junctions,APE,Uncertain,GO:0005654,GO:0005737;GO:0005813;GO:0030054,,1941
ENSG00000104826,LHB,Cytoplasm,,APE,Uncertain,GO:0005737,,,1942
ENSG00000104827,CGB,Cytoplasm,,APE,Uncertain,GO:0005737,,,1943
ENSG00000104852,SNRNP70,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,1944
ENSG00000104853,CLPTM1,Nuclear membrane;Microtubule organizing center,,APE,Uncertain,GO:0031965;GO:0005815,,,1945
ENSG00000104856,RELB,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,1946
ENSG00000104859,CLASRP,Nucleus,,APE,Supportive,GO:0005634,,,1947
ENSG00000104866,PPP1R37,Cytoplasm,,APE,Uncertain,GO:0005737,,,1948
ENSG00000104872,PIH1D1,Cytoplasm,,APE,Uncertain,GO:0005737,,,1949
ENSG00000104879,CKM,Vesicles,Nucleus,APE,Uncertain,GO:0043231,GO:0005634,,1950
ENSG00000104880,ARHGEF18,Cytoplasm,,APE,Supportive,GO:0005737,,,1951
ENSG00000104881,PPP1R13L,Cytoplasm,,APE,Supportive,GO:0005737,,,1952
ENSG00000104885,DOT1L,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,1953
ENSG00000104886,PLEKHJ1,Mitochondria,,APE,Uncertain,GO:0005739,,,1954
ENSG00000104889,RNASEH2A,Nucleus;Cytoplasm,,APE,Supportive,GO:0005634;GO:0005737,,,1955
ENSG00000104892,KLC3,Cytoskeleton (Actin filaments),Nucleus but not nucleoli;Cytoplasm,APE,Uncertain,GO:0015629,GO:0005654;GO:0005737,,1956
ENSG00000104897,SF3A2,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,1957
ENSG00000104907,TRMT1,Plasma membrane;Cytoplasm,Nucleus,APE,Uncertain,GO:0005886;GO:0005737,GO:0005634,,1958
ENSG00000104915,STX10,Golgi apparatus,,APE,Uncertain,GO:0005794,,,1959
ENSG00000104921,FCER2,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,1960
ENSG00000104936,DMPK,Cytoplasm;Vesicles,,APE,Supportive,GO:0005737;GO:0043231,,,1961
ENSG00000104957,CCDC130,Vesicles,,APE,Uncertain,GO:0043231,,,1962
ENSG00000104960,PTOV1,Nucleus,,APE,Supportive,GO:0005634,,,1963
ENSG00000104964,AES,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,1964
ENSG00000104969,SGTA,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,1965
ENSG00000104973,MED25,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,1966
ENSG00000104976,SNAPC2,Nucleus,Cytoplasm,APE,Supportive,GO:0005634,GO:0005737,,1967
ENSG00000104979,C19orf53,Nucleus;Nucleoli,,APE,Supportive,GO:0005634;GO:0005730,,,1968
ENSG00000104980,TIMM44,Mitochondria,,APE,Supportive,GO:0005739,,,1969
ENSG00000104983,CCDC61,Nucleus,,APE,Uncertain,GO:0005634,,,1970
ENSG00000104998,IL27RA,Endoplasmic reticulum;Vesicles,,APE,Uncertain,GO:0005783;GO:0043231,,,1971
ENSG00000105011,ASF1B,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,1972
ENSG00000105048,TNNT1,Nucleus;Cytoplasm;Golgi apparatus,,APE,Uncertain,GO:0005634;GO:0005737;GO:0005794,,,1973
ENSG00000105053,VRK3,Nucleus;Vesicles,Nucleoli,APE,Supportive,GO:0005634;GO:0043231,GO:0005730,,1974
ENSG00000105058,FAM32A,Nucleus,Nucleoli;Mitochondria,APE,Supportive,GO:0005634,GO:0005730;GO:0005739,,1975
ENSG00000105063,PPP6R1,Cytoplasm,,APE,Supportive,GO:0005737,,,1976
ENSG00000105072,C19orf44,Nucleus,Cytoplasm,APE,Supportive,GO:0005634,GO:0005737,,1977
ENSG00000105085,MED26,Nucleus but not nucleoli,Cytoplasm;Vesicles,APE,Uncertain,GO:0005654,GO:0005737;GO:0043231,,1978
ENSG00000105088,OLFM2,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,1979
ENSG00000105127,AKAP8,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,1980
ENSG00000105137,SYDE1,Nucleus but not nucleoli,Cytoplasm;Golgi apparatus,APE,Uncertain,GO:0005654,GO:0005737;GO:0005794,,1981
ENSG00000105173,CCNE1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,1982
ENSG00000105176,URI1,Mitochondria;Vesicles,,APE,Supportive,GO:0005739;GO:0043231,,,1983
ENSG00000105185,PDCD5,Cytoplasm,Nucleus,APE,Supportive,GO:0005737,GO:0005634,,1984
ENSG00000105186,ANKRD27,Cytoplasm,,APE,Supportive,GO:0005737,,,1985
ENSG00000105197,TIMM50,Nucleus but not nucleoli;Mitochondria,,APE,Supportive,GO:0005654;GO:0005739,,,1986
ENSG00000105220,GPI,Plasma membrane;Cytoplasm,Nucleus but not nucleoli,APE,Supportive,GO:0005886;GO:0005737,GO:0005654,,1987
ENSG00000105223,PLD3,Nucleus;Cytoplasm,Nucleoli,APE,Uncertain,GO:0005634;GO:0005737,GO:0005730,,1988
ENSG00000105227,PRX,Plasma membrane;Golgi apparatus;Vesicles,,APE,Uncertain,GO:0005886;GO:0005794;GO:0043231,,,1989
ENSG00000105229,PIAS4,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,1990
ENSG00000105248,CCDC94,Nucleus but not nucleoli,Cytoplasm;Cytoskeleton (Intermediate filaments),APE,Supportive,GO:0005654,GO:0005737;GO:0045111,,1991
ENSG00000105251,SHD,Cytoplasm;Microtubule organizing center,,APE,Uncertain,GO:0005737;GO:0005815,,,1992
ENSG00000105254,TBCB,Cytoplasm,Nucleus but not nucleoli,APE,Supportive,GO:0005737,GO:0005654,,1993
ENSG00000105258,POLR2I,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,1994
ENSG00000105278,ZFR2,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,1995
ENSG00000105281,SLC1A5,Plasma membrane;Golgi apparatus,,APE,Supportive,GO:0005886;GO:0005794,,,1996
ENSG00000105287,PRKD2,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,1997
ENSG00000105298,CACTIN,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,1998
ENSG00000105321,CCDC9,Cytoplasm,,APE,Uncertain,GO:0005737,,,1999
ENSG00000105323,HNRNPUL1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2000
ENSG00000105325,FZR1,Nucleus but not nucleoli;Nuclear membrane,,APE,Supportive,GO:0005654;GO:0031965,,,2001
ENSG00000105329,TGFB1,Cytoplasm,,APE,Uncertain,GO:0005737,,,2002
ENSG00000105341,ATP5SL,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2003
ENSG00000105355,PLIN3,Vesicles,,APE,Supportive,GO:0043231,,,2004
ENSG00000105364,MRPL4,Nucleoli,Nucleus;Cytoplasm,APE,Uncertain,GO:0005730,GO:0005634;GO:0005737,,2005
ENSG00000105366,SIGLEC8,Cytoplasm,,APE,Uncertain,GO:0005737,,,2006
ENSG00000105371,ICAM4,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2007
ENSG00000105372,RPS19,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2008
ENSG00000105373,GLTSCR2,Nucleoli,,APE,Supportive,GO:0005730,,,2009
ENSG00000105374,NKG7,Vesicles,,APE,Uncertain,GO:0043231,,,2010
ENSG00000105376,ICAM5,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2011
ENSG00000105379,ETFB,Mitochondria,,APE,Supportive,GO:0005739,,,2012
ENSG00000105383,CD33,Nucleus;Plasma membrane,,APE,Supportive,GO:0005634;GO:0005886,,,2013
ENSG00000105393,BABAM1,Nucleus,,APE,Supportive,GO:0005634,,,2014
ENSG00000105397,TYK2,Cytoplasm,,APE,Uncertain,GO:0005737,,,2015
ENSG00000105398,SULT2A1,Cytoplasm,,APE,Supportive,GO:0005737,,,2016
ENSG00000105401,CDC37,Cytoplasm,,APE,Supportive,GO:0005737,,,2017
ENSG00000105404,RABAC1,Nuclear membrane,Nucleoli,APE,Uncertain,GO:0031965,GO:0005730,,2018
ENSG00000105419,MEIS3,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2019
ENSG00000105426,PTPRS,Plasma membrane;Cytoplasm,,APE,Uncertain,GO:0005886;GO:0005737,,,2020
ENSG00000105427,CNFN,Cytoskeleton (Microtubules),Cytoskeleton (Cytokinetic bridge),APE,Uncertain,GO:0015630,GO:0045171,,2021
ENSG00000105447,GRWD1,Nucleoli,Nucleus,APE,Supportive,GO:0005730,GO:0005634,,2022
ENSG00000105472,CLEC11A,Centrosome,,APE,Uncertain,GO:0005813,,,2023
ENSG00000105483,CARD8,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,2024
ENSG00000105486,LIG1,Nucleus,Golgi apparatus;Vesicles,APE,Supportive,GO:0005634,GO:0005794;GO:0043231,,2025
ENSG00000105497,ZNF175,Cytoplasm,Nucleus but not nucleoli,APE,Supportive,GO:0005737,GO:0005654,,2026
ENSG00000105514,RAB3D,Cytoplasm;Vesicles,,APE,Uncertain,GO:0005737;GO:0043231,,,2027
ENSG00000105518,TMEM205,Nuclear membrane;Plasma membrane,Nucleus but not nucleoli;Cytoplasm;Cell Junctions,APE,Supportive,GO:0031965;GO:0005886,GO:0005654;GO:0005737;GO:0030054,,2028
ENSG00000105519,CAPS,Cytoplasm,,APE,Supportive,GO:0005737,,,2029
ENSG00000105520,LPPR2,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2030
ENSG00000105556,MIER2,Nucleus but not nucleoli;Cytoplasm,,APE,Uncertain,GO:0005654;GO:0005737,,,2031
ENSG00000105559,PLEKHA4,Plasma membrane;Cytoplasm,Cytoskeleton (Cytokinetic bridge);Centrosome,APE,Uncertain,GO:0005886;GO:0005737,GO:0045171;GO:0005813,,2032
ENSG00000105568,PPP2R1A,Cytoplasm,,APE,Uncertain,GO:0005737,,,2033
ENSG00000105583,WDR83OS,Endoplasmic reticulum,,APE,Uncertain,GO:0005783,,,2034
ENSG00000105607,GCDH,Mitochondria,,APE,Supportive,GO:0005739,,,2035
ENSG00000105609,LILRB5,Cytoplasm,,APE,Uncertain,GO:0005737,,,2036
ENSG00000105613,MAST1,Vesicles,,APE,Uncertain,GO:0043231,,,2037
ENSG00000105618,PRPF31,Nucleus,,APE,Supportive,GO:0005634,,,2038
ENSG00000105619,TFPT,Nucleus,,APE,Supportive,GO:0005634,,,2039
ENSG00000105640,RPL18A,Nucleus;Nucleoli,Cytoplasm,APE,Uncertain,GO:0005634;GO:0005730,GO:0005737,,2040
ENSG00000105643,ARRDC2,Nucleus but not nucleoli,Cytoplasm,APE,Uncertain,GO:0005654,GO:0005737,,2041
ENSG00000105655,ISYNA1,Nucleus,Cytoplasm,APE,Uncertain,GO:0005634,GO:0005737,,2042
ENSG00000105656,ELL,Nucleus,Plasma membrane;Cytoplasm;Cytoskeleton (Actin filaments),APE,Supportive,GO:0005634,GO:0005886;GO:0005737;GO:0015629,,2043
ENSG00000105662,CRTC1,Nucleus but not nucleoli;Plasma membrane;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005886;GO:0005737,,,2044
ENSG00000105669,COPE,Golgi apparatus,,APE,Supportive,GO:0005794,,,2045
ENSG00000105671,DDX49,Mitochondria,Nucleoli,APE,Uncertain,GO:0005739,GO:0005730,,2046
ENSG00000105676,ARMC6,Cytoplasm,,APE,Supportive,GO:0005737,,,2047
ENSG00000105677,TMEM147,Cytoskeleton (Actin filaments),Cytoplasm;Golgi apparatus,APE,Uncertain,GO:0015629,GO:0005737;GO:0005794,,2048
ENSG00000105679,GAPDHS,Nucleus but not nucleoli;Centrosome,,APE,Uncertain,GO:0005654;GO:0005813,,,2049
ENSG00000105696,TMEM59L,Cytoskeleton (Actin filaments),Nucleus but not nucleoli,APE,Uncertain,GO:0015629,GO:0005654,,2050
ENSG00000105698,USF2,Nucleus but not nucleoli,Vesicles,APE,Supportive,GO:0005654,GO:0043231,,2051
ENSG00000105699,LSR,Nucleus but not nucleoli;Cytoplasm,Plasma membrane,APE,Uncertain,GO:0005654;GO:0005737,GO:0005886,,2052
ENSG00000105700,KXD1,Cytoplasm;Centrosome,Nucleoli,APE,Uncertain,GO:0005737;GO:0005813,GO:0005730,,2053
ENSG00000105701,FKBP8,Mitochondria,Cytoplasm;Endoplasmic reticulum,APE,Supportive,GO:0005739,GO:0005737;GO:0005783,,2054
ENSG00000105705,SUGP1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2055
ENSG00000105708,ZNF14,Nucleus;Cytoplasm,,APE,Uncertain,GO:0005634;GO:0005737,,,2056
ENSG00000105717,PBX4,Vesicles,,APE,Uncertain,GO:0043231,,,2057
ENSG00000105722,ERF,Nucleus,Golgi apparatus,APE,Supportive,GO:0005634,GO:0005794,,2058
ENSG00000105723,GSK3A,Cytoplasm,Nucleus but not nucleoli;Vesicles,APE,Supportive,GO:0005737,GO:0005654;GO:0043231,,2059
ENSG00000105726,ATP13A1,Vesicles,,APE,Uncertain,GO:0043231,,,2060
ENSG00000105732,ZNF574,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2061
ENSG00000105738,SIPA1L3,Nucleus but not nucleoli;Nuclear membrane,,APE,Uncertain,GO:0005654;GO:0031965,,,2062
ENSG00000105750,ZNF85,Nucleus,,APE,Supportive,GO:0005634,,,2063
ENSG00000105755,ETHE1,Mitochondria,Nucleus but not nucleoli,APE,Supportive,GO:0005739,GO:0005654,,2064
ENSG00000105767,CADM4,Nuclear membrane,Nucleus,APE,Uncertain,GO:0031965,GO:0005634,,2065
ENSG00000105771,SMG9,Cytoplasm;Mitochondria,,APE,Uncertain,GO:0005737;GO:0005739,,,2066
ENSG00000105778,AVL9,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2067
ENSG00000105810,CDK6,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,2068
ENSG00000105819,PMPCB,Mitochondria,,APE,Supportive,GO:0005739,,,2069
ENSG00000105821,DNAJC2,Cytoplasm,,APE,Supportive,GO:0005737,,,2070
ENSG00000105825,TFPI2,Nucleus,,APE,Uncertain,GO:0005634,,,2071
ENSG00000105835,NAMPT,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2072
ENSG00000105849,TWISTNB,Nucleus;Nucleoli,Cytoskeleton (Microtubules),APE,Supportive,GO:0005634;GO:0005730,GO:0015630,,2073
ENSG00000105855,ITGB8,Plasma membrane;Cytoplasm,,APE,Uncertain,GO:0005886;GO:0005737,,,2074
ENSG00000105856,HBP1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2075
ENSG00000105865,DUS4L,Cytoplasm,,APE,Uncertain,GO:0005737,,,2076
ENSG00000105866,SP4,Nucleus but not nucleoli,Cytoplasm;Cytoskeleton (Microtubules),APE,Supportive,GO:0005654,GO:0005737;GO:0015630,,2077
ENSG00000105875,WDR91,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2078
ENSG00000105879,CBLL1,Nucleus but not nucleoli,Cell Junctions,APE,Supportive,GO:0005654,GO:0030054,,2079
ENSG00000105880,DLX5,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2080
ENSG00000105887,MTPN,Plasma membrane;Cytoplasm,,APE,Supportive,GO:0005886;GO:0005737,,,2081
ENSG00000105894,PTN,,,APE,Uncertain,,,,2082
ENSG00000105928,DFNA5,Cytoplasm,,APE,Supportive,GO:0005737,,,2083
ENSG00000105929,ATP6V0A4,Cytoplasm,,APE,Uncertain,GO:0005737,,,2084
ENSG00000105939,ZC3HAV1,Cytoplasm,Golgi apparatus,APE,Supportive,GO:0005737,GO:0005794,,2085
ENSG00000105948,TTC26,Nucleus;Cytoplasm;Cytoskeleton (Intermediate filaments),,APE,Uncertain,GO:0005634;GO:0005737;GO:0045111,,,2086
ENSG00000105953,OGDH,Mitochondria,,APE,Supportive,GO:0005739,,,2087
ENSG00000105963,ADAP1,Plasma membrane;Cytoplasm,,APE,Supportive,GO:0005886;GO:0005737,,,2088
ENSG00000105967,TFEC,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,2089
ENSG00000105971,CAV2,Vesicles,,APE,Uncertain,GO:0043231,,,2090
ENSG00000105974,CAV1,Golgi apparatus,,APE,Supportive,GO:0005794,,,2091
ENSG00000105976,MET,Plasma membrane;Cytoplasm,,APE,Supportive,GO:0005886;GO:0005737,,,2092
ENSG00000105983,LMBR1,Cytoplasm,,APE,Uncertain,GO:0005737,,,2093
ENSG00000105989,WNT2,Vesicles,,APE,Uncertain,GO:0043231,,,2094
ENSG00000105993,DNAJB6,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2095
ENSG00000105996,HOXA2,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2096
ENSG00000105997,HOXA3,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2097
ENSG00000106012,IQCE,Nucleus but not nucleoli,Cytoplasm,APE,Uncertain,GO:0005654,GO:0005737,,2098
ENSG00000106013,ANKRD7,Nucleus,,APE,Uncertain,GO:0005634,,,2099
ENSG00000106025,TSPAN12,Cytoskeleton (Microtubules),Vesicles,APE,Uncertain,GO:0015630,GO:0043231,,2100
ENSG00000106028,SSBP1,Mitochondria,,APE,Supportive,GO:0005739,,,2101
ENSG00000106031,HOXA13,Nucleus,Cytoskeleton (Intermediate filaments),APE,Supportive,GO:0005634,GO:0045111,,2102
ENSG00000106034,CPED1,Nucleus,,APE,Uncertain,GO:0005634,,,2103
ENSG00000106038,EVX1,Nucleus but not nucleoli;Nuclear membrane,Aggresome,APE,Uncertain,GO:0005654;GO:0031965,GO:0016235,,2104
ENSG00000106052,TAX1BP1,Cytoplasm,Nucleus but not nucleoli,APE,Uncertain,GO:0005737,GO:0005654,,2105
ENSG00000106066,CPVL,Endoplasmic reticulum,,APE,Uncertain,GO:0005783,,,2106
ENSG00000106070,GRB10,Vesicles,Nuclear membrane,APE,Uncertain,GO:0043231,GO:0031965,,2107
ENSG00000106077,ABHD11,Mitochondria,,APE,Supportive,GO:0005739,,,2108
ENSG00000106078,COBL,Plasma membrane;Cell Junctions,,APE,Supportive,GO:0005886;GO:0030054,,,2109
ENSG00000106080,FKBP14,Cytoplasm,Nucleus;Golgi apparatus,APE,Uncertain,GO:0005737,GO:0005634;GO:0005794,,2110
ENSG00000106105,GARS,Cytoplasm,Nucleus but not nucleoli,APE,Supportive,GO:0005737,GO:0005654,,2111
ENSG00000106123,EPHB6,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2112
ENSG00000106125,FAM188B,Cytoplasm;Vesicles,,APE,Supportive,GO:0005737;GO:0043231,,,2113
ENSG00000106144,CASP2,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2114
ENSG00000106153,CHCHD2,Mitochondria,,APE,Supportive,GO:0005739,,,2115
ENSG00000106211,HSPB1,Plasma membrane;Cytoplasm,,APE,Supportive,GO:0005886;GO:0005737,,,2116
ENSG00000106244,PDAP1,Cytoplasm,Plasma membrane,APE,Supportive,GO:0005737,GO:0005886,,2117
ENSG00000106245,BUD31,Nucleus,Cytoskeleton (Microtubules);Centrosome,APE,Uncertain,GO:0005634,GO:0015630;GO:0005813,,2118
ENSG00000106261,ZKSCAN1,Nucleus but not nucleoli,Mitochondria,APE,Uncertain,GO:0005654,GO:0005739,,2119
ENSG00000106263,EIF3B,Nucleus but not nucleoli;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005737,,,2120
ENSG00000106266,SNX8,Vesicles,,APE,Supportive,GO:0043231,,,2121
ENSG00000106268,NUDT1,Cytoplasm,,APE,Uncertain,GO:0005737,,,2122
ENSG00000106278,PTPRZ1,Vesicles,,APE,Uncertain,GO:0043231,,,2123
ENSG00000106290,TAF6,Nucleus,Cytoplasm,APE,Supportive,GO:0005634,GO:0005737,,2124
ENSG00000106299,WASL,Cytoplasm,Nucleus but not nucleoli,APE,Supportive,GO:0005737,GO:0005654,,2125
ENSG00000106305,AIMP2,Cytoplasm,,APE,Uncertain,GO:0005737,,,2126
ENSG00000106330,MOSPD3,Nucleus but not nucleoli;Cytoplasm,,APE,Uncertain,GO:0005654;GO:0005737,,,2127
ENSG00000106333,PCOLCE,Nucleus but not nucleoli;Vesicles,,APE,Uncertain,GO:0005654;GO:0043231,,,2128
ENSG00000106346,USP42,Nucleus,,APE,Uncertain,GO:0005634,,,2129
ENSG00000106348,IMPDH1,Nucleus but not nucleoli,Cell Junctions,APE,Supportive,GO:0005654,GO:0030054,,2130
ENSG00000106366,SERPINE1,Cytoplasm,,APE,Uncertain,GO:0005737,,,2131
ENSG00000106367,AP1S1,Golgi apparatus;Vesicles,,APE,Supportive,GO:0005794;GO:0043231,,,2132
ENSG00000106384,MOGAT3,Centrosome,,APE,Uncertain,GO:0005813,,,2133
ENSG00000106392,C1GALT1,Nucleus but not nucleoli;Cytoplasm,,APE,Uncertain,GO:0005654;GO:0005737,,,2134
ENSG00000106400,ZNHIT1,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2135
ENSG00000106415,GLCCI1,Nucleoli;Golgi apparatus,Nucleus but not nucleoli;Cytoplasm,APE,Uncertain,GO:0005730;GO:0005794,GO:0005654;GO:0005737,,2136
ENSG00000106436,MYL10,Cytoskeleton (Microtubules),,APE,Uncertain,GO:0015630,,,2137
ENSG00000106459,NRF1,Nucleus but not nucleoli,Cytoplasm,APE,Uncertain,GO:0005654,GO:0005737,,2138
ENSG00000106460,TMEM106B,Vesicles,,APE,Supportive,GO:0043231,,,2139
ENSG00000106462,EZH2,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2140
ENSG00000106479,ZNF862,Mitochondria,,APE,Uncertain,GO:0005739,,,2141
ENSG00000106484,MEST,Cytoplasm;Golgi apparatus,,APE,Uncertain,GO:0005737;GO:0005794,,,2142
ENSG00000106524,ANKMY2,Cytoplasm;Cytoskeleton (Intermediate filaments),,APE,Uncertain,GO:0005737;GO:0045111,,,2143
ENSG00000106537,TSPAN13,Nucleus,,APE,Uncertain,GO:0005634,,,2144
ENSG00000106538,RARRES2,Cytoplasm,,APE,Uncertain,GO:0005737,,,2145
ENSG00000106541,AGR2,Cytoplasm,,APE,Uncertain,GO:0005737,,,2146
ENSG00000106546,AHR,Nucleus but not nucleoli;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005737,,,2147
ENSG00000106554,CHCHD3,Mitochondria,,APE,Supportive,GO:0005739,,,2148
ENSG00000106571,GLI3,Nucleus but not nucleoli,Nucleoli;Vesicles,APE,Uncertain,GO:0005654,GO:0005730;GO:0043231,,2149
ENSG00000106603,COA1,Mitochondria,Cytoplasm,APE,Supportive,GO:0005739,GO:0005737,,2150
ENSG00000106608,URGCP,Nucleus but not nucleoli;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005737,,,2151
ENSG00000106609,TMEM248,Vesicles,,APE,Uncertain,GO:0043231,,,2152
ENSG00000106615,RHEB,Nucleus but not nucleoli,Cytoplasm,APE,Uncertain,GO:0005654,GO:0005737,,2153
ENSG00000106617,PRKAG2,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,2154
ENSG00000106628,POLD2,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2155
ENSG00000106633,GCK,Cytoplasm;Golgi apparatus,,APE,Uncertain,GO:0005737;GO:0005794,,,2156
ENSG00000106635,BCL7B,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2157
ENSG00000106636,YKT6,Cytoplasm,Mitochondria,APE,Uncertain,GO:0005737,GO:0005739,,2158
ENSG00000106638,TBL2,Cytoplasm,,APE,Supportive,GO:0005737,,,2159
ENSG00000106682,EIF4H,Nucleus but not nucleoli;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005737,,,2160
ENSG00000106683,LIMK1,Nucleus but not nucleoli;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005737,,,2161
ENSG00000106689,LHX2,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2162
ENSG00000106701,FSD1L,Cytoskeleton (Actin filaments),Plasma membrane,APE,Uncertain,GO:0015629,GO:0005886,,2163
ENSG00000106733,NMRK1,Nucleus but not nucleoli;Cytoplasm,,APE,Uncertain,GO:0005654;GO:0005737,,,2164
ENSG00000106771,TMEM245,Plasma membrane;Cytoplasm,,APE,Uncertain,GO:0005886;GO:0005737,,,2165
ENSG00000106772,PRUNE2,Golgi apparatus;Vesicles,Nucleus,APE,Supportive,GO:0005794;GO:0043231,GO:0005634,,2166
ENSG00000106780,MEGF9,Nucleus,Cytoplasm,APE,Uncertain,GO:0005634,GO:0005737,,2167
ENSG00000106785,TRIM14,Nucleus but not nucleoli;Cytoplasm,,APE,Uncertain,GO:0005654;GO:0005737,,,2168
ENSG00000106789,CORO2A,Plasma membrane;Cytoplasm,,APE,Uncertain,GO:0005886;GO:0005737,,,2169
ENSG00000106803,SEC61B,Endoplasmic reticulum,,APE,Supportive,GO:0005783,,,2170
ENSG00000106819,ASPN,Nucleus but not nucleoli,Vesicles,APE,Uncertain,GO:0005654,GO:0043231,,2171
ENSG00000106829,TLE4,Nucleus,,APE,Supportive,GO:0005634,,,2172
ENSG00000106852,LHX6,Nucleoli,,APE,Uncertain,GO:0005730,,,2173
ENSG00000106868,SUSD1,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,2174
ENSG00000106948,AKNA,Nucleus but not nucleoli;Centrosome,Cytoplasm,APE,Supportive,GO:0005654;GO:0005813,GO:0005737,,2175
ENSG00000106976,DNM1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,2176
ENSG00000106991,ENG,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,2177
ENSG00000106992,AK1,Cytoplasm,Nucleus but not nucleoli,APE,Supportive,GO:0005737,GO:0005654,,2178
ENSG00000106993,CDC37L1,Cytoplasm,,APE,Supportive,GO:0005737,,,2179
ENSG00000107021,TBC1D13,Nucleoli,,APE,Uncertain,GO:0005730,,,2180
ENSG00000107104,KANK1,Plasma membrane,,APE,Supportive,GO:0005886,,,2181
ENSG00000107105,ELAVL2,Nucleus but not nucleoli,Cytoplasm,APE,Uncertain,GO:0005654,GO:0005737,,2182
